bam_filename,bam_index_filename,dataset_pk,is_on_blob,library_id,sample_id
MT0904/A06669/merge32447_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A06669_10_lanes_dupsFlagged.bam,MT0904/A06669/merge32447_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A06669_10_lanes_dupsFlagged.bam.bai,4785,True,A06669,SA221
wgs_merged/SA232/A06670_A91714/bwa-mem/hg19a/A06670_A91714_merged.bam,wgs_merged/SA232/A06670_A91714/bwa-mem/hg19a/A06670_A91714_merged.bam.bai,6903,True,A06670,SA232
BM01-20/A06671/merge32448_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A06671_10_lanes_dupsFlagged.bam,BM01-20/A06671/merge32448_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A06671_10_lanes_dupsFlagged.bam.bai,4786,True,A06671,SA238
MT0240/A06672/merge32449_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A06672_10_lanes_dupsFlagged.bam,MT0240/A06672/merge32449_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A06672_10_lanes_dupsFlagged.bam.bai,4787,True,A06672,SA239
wgs_merged/SA299/A06673_A14558/bwa-mem/hg19a/A06673_A14558_merged.bam,wgs_merged/SA299/A06673_A14558/bwa-mem/hg19a/A06673_A14558_merged.bam.bai,6902,True,A06673,SA299
MT1660/A06678/merge32451_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A06678_10_lanes_dupsFlagged.bam,MT1660/A06678/merge32451_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A06678_10_lanes_dupsFlagged.bam.bai,4789,True,A06678,SA300
MT0904/A06679/merge32763_bwa-mem-0.7.6a-sb/100bp/hg19a/A06679_9_lanes_dupsFlagged.bam,MT0904/A06679/merge32763_bwa-mem-0.7.6a-sb/100bp/hg19a/A06679_9_lanes_dupsFlagged.bam.bai,5735,True,A06679,SA221N
wgs_merged/SA095N/A06681_A14556/bwa-mem/hg19a/A06681_A14556_merged.bam,wgs_merged/SA095N/A06681_A14556/bwa-mem/hg19a/A06681_A14556_merged.bam.bai,6899,True,A06681,SA095N
MT0365/A06682/merge32762_bwa-mem-0.7.6a-sb/100bp/hg19a/A06682_9_lanes_dupsFlagged.bam,MT0365/A06682/merge32762_bwa-mem-0.7.6a-sb/100bp/hg19a/A06682_9_lanes_dupsFlagged.bam.bai,5737,True,A06682,SA232N
BM01-20/A06683/merge32764_bwa-mem-0.7.6a-sb/100bp/hg19a/A06683_9_lanes_dupsFlagged.bam,BM01-20/A06683/merge32764_bwa-mem-0.7.6a-sb/100bp/hg19a/A06683_9_lanes_dupsFlagged.bam.bai,5738,True,A06683,SA238
MT0240/A06684/merge32761_bwa-mem-0.7.6a-sb/100bp/hg19a/A06684_9_lanes_dupsFlagged.bam,MT0240/A06684/merge32761_bwa-mem-0.7.6a-sb/100bp/hg19a/A06684_9_lanes_dupsFlagged.bam.bai,5739,True,A06684,SA239N
GVM0383/A06685/merge32770_bwa-mem-0.7.6a-sb/100bp/hg19a/A06685_9_lanes_dupsFlagged.bam,GVM0383/A06685/merge32770_bwa-mem-0.7.6a-sb/100bp/hg19a/A06685_9_lanes_dupsFlagged.bam.bai,5740,True,A06685,SA299
GVM0630/A06690/merge32765_bwa-mem-0.7.6a-sb/100bp/hg19a/A06690_9_lanes_dupsFlagged.bam,GVM0630/A06690/merge32765_bwa-mem-0.7.6a-sb/100bp/hg19a/A06690_9_lanes_dupsFlagged.bam.bai,5741,True,A06690,SA300
MT2988/A08453/merge32452_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A08453_5_lanes_dupsFlagged.bam,MT2988/A08453/merge32452_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A08453_5_lanes_dupsFlagged.bam.bai,4790,True,A08453,SA423
MT2932/A08454/merge32453_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A08454_5_lanes_dupsFlagged.bam,MT2932/A08454/merge32453_bwa-mem-0.7.6a-sb/100bp-150bp/hg19a/A08454_5_lanes_dupsFlagged.bam.bai,4791,True,A08454,SA425
