seqnames	start	end	width
1	120500001	146500000	26000000
2	89500001	95500000	6000000
4	49000001	53000000	4000000
5	46000001	49500000	3500000
6	58000001	62500000	4500000
7	58000001	62000000	4000000
8	43500001	47000000	3500000
9	38500001	71000000	32500000
10	38500001	43000000	4500000
10	46000001	49500000	3500000
11	50500001	55000000	4500000
12	34500001	38000000	3500000
13	1	19500000	19500000
14	1	19000000	19000000
15	1	24000000	24000000
16	35000001	46500000	11500000
17	21500001	25500000	4000000
18	15000001	18500000	3500000
19	24500001	28000000	3500000
20	26000001	30000000	4000000
21	1	14500000	14500000
22	1	17000000	17000000
X	58500001	62000000	3500000
X	88500001	92500000	4000000
Y	1	7000000	7000000
Y	10000001	14000000	4000000
Y	23500001	59500000	36000000
